Common,165
GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-02 00:47:39.789553,2018-02-16 10:00:00,00:13:33:e3:b0:3b,PLDTHOMEDSL,WPA2/WPA,-68,11,Baudtec,Broadband,14.646197,121.060845
2018-04-02 00:47:40.862766,2018-02-16 10:00:00,00:13:33:c6:d0:da,PLDTHOMEDSL,WPA2/WPA,-67,11,Baudtec,Broadband,14.646305,121.060837
2018-04-10 18:06:08,2018-02-16 10:00:00,e0:8e:3c:21:f6:a7,bayanDSLWIFI_F6A7,WPA2/WPA,-74,11,AztechEl,Unidentified,14.64563,121.059458
2018-03-22 21:31:27.591012,2018-02-16 10:00:00,cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,WPA2/WPA,-67,9,Fiberhom,Fiber,14.645742,121.060682
2018-04-05 14:08:12,2018-02-16 10:00:00,94:46:96:18:f4:c9,PLDTHOMEDSL7G7G0,WPA2/WPA,-67,1,Baudtec,Broadband,14.645528,121.060832
2018-03-14 13:31:25.833268,2018-02-16 10:00:00,18:de:d7:34:4c:cc,HUAWEI-uAu6,WPA2/WPA,-75,5,HuaweiTe,Unidentified,14.645432,121.060898
2018-04-03 01:51:53.255756,2018-02-16 10:00:00,00:13:33:fb:45:3c,xNonex,OPN,-68,1,Baudtec,Unidentified,14.645135,121.060878
2018-04-05 14:19:52,2018-02-16 10:00:00,00:13:33:ed:60:4c,B79e,WPA2/WPA,-60,10,Baudtec,Unidentified,14.645127,121.060827
2018-04-05 14:19:53,2018-02-16 10:00:00,00:13:33:e8:f8:31,PLDTHOMEDSL,WPA2/WPA,-56,11,Baudtec,Broadband,14.645098,121.060832
2018-04-05 13:42:52,2018-02-16 10:00:00,88:d2:74:86:d2:0f,abegnot,WPA2/WPA,-72,11,Zte,Unidentified,14.645143,121.060888
2018-04-05 14:20:06,2018-02-16 10:00:00,00:26:75:f5:fe:bc,Premiera Dentista,WPA,-76,9,AztechEl,Unidentified,14.645025,121.060847
2018-04-03 01:50:58.111729,2018-02-16 10:00:00,84:16:f9:ed:7d:f4,flyff for fun,WPA2/WPA,-55,1,Tp-LinkT,Unidentified,14.645158,121.060947
2018-04-05 14:09:12,2018-02-16 10:00:00,00:13:33:fb:45:39,PLDTHOMEDSL,WPA2/WPA,-67,1,Baudtec,Broadband,14.64517,121.06094
